Quarter,GDP_Growth,CPI_YoY,Unemployment,Unemp_Change,Regime,Regime_Score
2000-03-31,3.6,2.8,6.6,,Moderate Growth,65
2000-06-30,4.2,3.1,6.1,-0.5,Recovery,55
2000-09-30,3.4,6.0,6.0,-0.09999999999999964,Moderate Growth,65
2000-12-31,1.3,5.8,6.2,0.20000000000000018,Stagflation,35
2001-03-31,1.8,6.0,6.5,0.2999999999999998,Moderate Growth,65
2001-06-30,1.7,6.1,6.9,0.40000000000000036,Moderate Growth,65
2001-09-30,2.6,2.5,6.8,-0.10000000000000053,Moderate Growth,65
2001-12-31,4.2,3.1,6.9,0.10000000000000053,Moderate Growth,65
2002-03-31,4.1,3.0,6.4,-0.5,Recovery,55
2002-06-30,4.9,2.8,6.5,0.09999999999999964,Moderate Growth,65
2002-09-30,4.0,3.3,6.3,-0.20000000000000018,Recovery,55
2002-12-31,3.6,3.0,6.2,-0.09999999999999964,Moderate Growth,65
2003-03-31,3.1,3.4,6.1,-0.10000000000000053,Moderate Growth,65
2003-06-30,1.7,2.7,6.1,0.0,Moderate Growth,65
2003-09-30,3.2,2.6,5.8,-0.2999999999999998,Recovery,55
2003-12-31,4.1,2.4,5.7,-0.09999999999999964,Moderate Growth,65
2004-03-31,4.6,2.0,5.4,-0.2999999999999998,Expansion,90
2004-06-30,5.0,2.5,5.5,0.09999999999999964,Moderate Growth,65
2004-09-30,3.9,2.3,5.4,-0.09999999999999964,Expansion,90
2004-12-31,3.0,2.6,5.1,-0.3000000000000007,Recovery,55
2005-03-31,3.0,2.3,5.2,0.10000000000000053,Moderate Growth,65
2005-06-30,2.7,2.5,5.0,-0.20000000000000018,Recovery,55
2005-09-30,3.2,3.1,5.0,0.0,Expansion,90
2005-12-31,3.2,2.8,5.1,0.09999999999999964,Expansion,90
2006-03-31,2.5,3.0,4.9,-0.1999999999999993,Moderate Growth,65
2006-06-30,2.2,4.0,4.8,-0.10000000000000053,Moderate Growth,65
2006-09-30,2.7,3.9,4.7,-0.09999999999999964,Moderate Growth,65
2006-12-31,3.1,3.2,4.6,-0.10000000000000053,Expansion,90
2007-03-31,4.5,2.5,4.5,-0.09999999999999964,Expansion,90
2007-06-30,4.9,2.1,4.3,-0.20000000000000018,Expansion,90
2007-09-30,4.5,1.9,4.2,-0.09999999999999964,Expansion,90
2007-12-31,3.6,3.0,4.3,0.09999999999999964,Expansion,90
2008-03-31,3.3,4.3,4.1,-0.20000000000000018,Recovery,55
2008-06-30,3.1,4.5,4.2,0.10000000000000053,Moderate Growth,65
2008-09-30,2.5,5.0,4.3,0.09999999999999964,Moderate Growth,65
2008-12-31,1.7,3.7,4.6,0.2999999999999998,Moderate Growth,65
2009-03-31,1.6,2.4,5.7,1.1000000000000005,Moderate Growth,65
2009-06-30,1.9,1.4,5.9,0.20000000000000018,Moderate Growth,65
2009-09-30,1.6,1.2,5.7,-0.20000000000000018,Recovery,55
2009-12-31,2.8,2.1,5.5,-0.20000000000000018,Recovery,55
2010-03-31,2.2,2.9,5.4,-0.09999999999999964,Moderate Growth,65
2010-06-30,2.2,3.1,5.1,-0.3000000000000007,Recovery,55
2010-09-30,2.6,2.8,5.1,0.0,Moderate Growth,65
2010-12-31,2.6,2.7,4.9,-0.1999999999999993,Moderate Growth,65
2011-03-31,1.9,3.3,4.9,0.0,Moderate Growth,65
2011-06-30,2.5,3.6,4.9,0.0,Moderate Growth,65
2011-09-30,3.2,3.5,5.2,0.2999999999999998,Expansion,90
2011-12-31,3.5,3.1,5.2,0.0,Expansion,90
2012-03-31,4.8,1.6,5.2,0.0,Expansion,90
2012-06-30,4.3,1.2,5.2,0.0,Expansion,90
2012-09-30,3.5,1.9,5.5,0.2999999999999998,Moderate Growth,65
2012-12-31,2.8,2.2,5.4,-0.09999999999999964,Moderate Growth,65
2013-03-31,2.3,2.5,5.6,0.1999999999999993,Moderate Growth,65
2013-06-30,2.0,2.4,5.7,0.10000000000000053,Moderate Growth,65
2013-09-30,2.2,2.2,5.7,0.0,Moderate Growth,65
2013-12-31,2.5,2.7,5.9,0.20000000000000018,Moderate Growth,65
2014-03-31,2.8,2.9,5.9,0.0,Moderate Growth,65
2014-06-30,2.9,3.1,6.0,0.09999999999999964,Moderate Growth,65
2014-09-30,2.5,2.3,6.2,0.20000000000000018,Moderate Growth,65
2014-12-31,2.1,1.7,6.1,-0.10000000000000053,Moderate Growth,65
2015-03-31,2.3,1.3,6.1,0.0,Moderate Growth,65
2015-06-30,1.9,1.5,6.0,-0.09999999999999964,Moderate Growth,65
2015-09-30,2.4,1.5,6.2,0.20000000000000018,Moderate Growth,65
2015-12-31,2.7,1.7,5.7,-0.5,Recovery,55
2016-03-31,2.7,1.3,5.7,0.0,Moderate Growth,65
2016-06-30,3.2,1.0,5.7,0.0,Moderate Growth,65
2016-09-30,2.2,1.3,5.7,0.0,Moderate Growth,65
2016-12-31,2.8,1.5,5.8,0.09999999999999964,Moderate Growth,65
2017-03-31,2.1,2.1,5.8,0.0,Moderate Growth,65
2017-06-30,2.1,1.9,5.6,-0.20000000000000018,Recovery,55
2017-09-30,3.1,1.8,5.5,-0.09999999999999964,Moderate Growth,65
2017-12-31,2.3,2.0,5.6,0.09999999999999964,Moderate Growth,65
2018-03-31,3.0,1.9,5.5,-0.09999999999999964,Moderate Growth,65
2018-06-30,3.2,2.1,5.3,-0.20000000000000018,Expansion,90
2018-09-30,2.6,1.9,5.0,-0.2999999999999998,Recovery,55
2018-12-31,2.4,1.8,5.0,0.0,Moderate Growth,65
2019-03-31,2.1,1.3,5.1,0.09999999999999964,Moderate Growth,65
2019-06-30,1.7,1.5,5.3,0.20000000000000018,Moderate Growth,65
2019-09-30,1.9,1.7,5.2,-0.09999999999999964,Moderate Growth,65
2019-12-31,2.2,1.8,5.0,-0.20000000000000018,Recovery,55
2020-03-31,1.3,2.2,5.2,0.20000000000000018,Moderate Growth,65
2020-06-30,-5.9,-0.3,7.4,2.2,Crisis,5
2020-09-30,-3.1,0.6,6.9,-0.5,Contraction,25
2020-12-31,-0.4,0.9,6.6,-0.3000000000000007,Contraction,25
2021-03-31,1.9,1.1,5.7,-0.8999999999999995,Recovery,55
2021-06-30,10.2,3.8,5.0,-0.7000000000000002,Expansion,90
2021-09-30,4.7,3.1,4.7,-0.2999999999999998,Expansion,90
2021-12-31,4.9,3.5,4.2,-0.5,Expansion,90
2022-03-31,3.6,5.1,4.0,-0.20000000000000018,Recovery,55
2022-06-30,3.8,6.2,3.6,-0.3999999999999999,Recovery,55
2022-09-30,6.1,7.3,3.6,0.0,Moderate Growth,65
2022-12-31,3.3,7.9,3.5,-0.10000000000000009,Moderate Growth,65
2023-03-31,2.8,7.0,3.6,0.10000000000000009,Moderate Growth,65
2023-06-30,2.3,6.0,3.5,-0.10000000000000009,Moderate Growth,65
2023-09-30,2.2,5.3,3.6,0.10000000000000009,Moderate Growth,65
2023-12-31,1.3,4.1,4.0,0.3999999999999999,Moderate Growth,65
2024-03-31,1.1,3.6,3.9,-0.10000000000000009,Moderate Growth,65
2024-06-30,0.9,3.8,4.0,0.10000000000000009,Moderate Growth,65
2024-09-30,0.8,2.9,4.0,0.0,Moderate Growth,65
2024-12-31,1.2,2.4,4.0,0.0,Moderate Growth,65
2025-03-31,1.3,2.4,4.1,0.09999999999999964,Moderate Growth,65
2025-06-30,2.0,2.1,4.3,0.20000000000000018,Moderate Growth,65
2025-09-30,2.1,3.2,4.4,0.10000000000000053,Moderate Growth,65
2025-12-31,2.5,3.6,4.1,-0.3000000000000007,Recovery,55
2026-03-31,2.5,4.1,4.3,0.20000000000000018,Moderate Growth,65
