Date,CPI_Index,CPI_YoY_Pct
1990-03-31,39.01,8.6
1990-06-30,39.63,7.7
1990-09-30,39.94,6.1
1990-12-31,40.98,6.9
1991-03-31,40.9,4.8
1991-06-30,40.98,3.4
1991-09-30,41.21,3.2
1991-12-31,41.6,1.5
1992-03-31,41.6,1.7
1992-06-30,41.48,1.2
1992-09-30,41.52,0.8
1992-12-31,41.71,0.3
1993-03-31,42.1,1.2
1993-06-30,42.25,1.9
1993-09-30,42.45,2.2
1993-12-31,42.53,2.0
1994-03-31,42.68,1.4
1994-06-30,42.99,1.8
1994-09-30,43.26,1.9
1994-12-31,43.61,2.5
1995-03-31,44.34,3.9
1995-06-30,44.92,4.5
1995-09-30,45.46,5.1
1995-12-31,45.81,5.0
1996-03-31,46.0,3.7
1996-06-30,46.31,3.1
1996-09-30,46.43,2.1
1996-12-31,46.51,1.5
1997-03-31,46.58,1.3
1997-06-30,46.47,0.3
1997-09-30,46.28,-0.3
1997-12-31,46.39,-0.3
1998-03-31,46.51,-0.2
1998-06-30,46.78,0.7
1998-09-30,46.91,1.4
1998-12-31,47.11,1.6
1999-03-31,47.08,1.2
1999-06-30,47.29,1.1
1999-09-30,47.72,1.7
1999-12-31,47.97,1.8
2000-03-31,48.4,2.8
2000-06-30,48.77,3.1
2000-09-30,50.59,6.0
2000-12-31,50.76,5.8
2001-03-31,51.3,6.0
2001-06-30,51.73,6.1
2001-09-30,51.87,2.5
2001-12-31,52.35,3.1
2002-03-31,52.82,3.0
2002-06-30,53.2,2.8
2002-09-30,53.56,3.3
2002-12-31,53.92,3.0
2003-03-31,54.62,3.4
2003-06-30,54.62,2.7
2003-09-30,54.93,2.6
2003-12-31,55.22,2.4
2004-03-31,55.71,2.0
2004-06-30,55.97,2.5
2004-09-30,56.2,2.3
2004-12-31,56.63,2.6
2005-03-31,57.01,2.3
2005-06-30,57.35,2.5
2005-09-30,57.92,3.1
2005-12-31,58.22,2.8
2006-03-31,58.72,3.0
2006-06-30,59.65,4.0
2006-09-30,60.18,3.9
2006-12-31,60.11,3.2
2007-03-31,60.16,2.5
2007-06-30,60.9,2.1
2007-09-30,61.32,1.9
2007-12-31,61.89,3.0
2008-03-31,62.72,4.3
2008-06-30,63.63,4.5
2008-09-30,64.37,5.0
2008-12-31,64.16,3.7
2009-03-31,64.23,2.4
2009-06-30,64.55,1.4
2009-09-30,65.16,1.2
2009-12-31,65.51,2.1
2010-03-31,66.12,2.9
2010-06-30,66.52,3.1
2010-09-30,67.0,2.8
2010-12-31,67.26,2.7
2011-03-31,68.3,3.3
2011-06-30,68.93,3.6
2011-09-30,69.34,3.5
2011-12-31,69.34,3.1
2012-03-31,69.38,1.6
2012-06-30,69.74,1.2
2012-09-30,70.69,1.9
2012-12-31,70.87,2.2
2013-03-31,71.11,2.5
2013-06-30,71.38,2.4
2013-09-30,72.25,2.2
2013-12-31,72.77,2.7
2014-03-31,73.2,2.9
2014-06-30,73.57,3.1
2014-09-30,73.88,2.3
2014-12-31,74.02,1.7
2015-03-31,74.16,1.3
2015-06-30,74.69,1.5
2015-09-30,74.98,1.5
2015-12-31,75.27,1.7
2016-03-31,75.12,1.3
2016-06-30,75.45,1.0
2016-09-30,75.98,1.3
2016-12-31,76.38,1.5
2017-03-31,76.73,2.1
2017-06-30,76.88,1.9
2017-09-30,77.35,1.8
2017-12-31,77.87,2.0
2018-03-31,78.21,1.9
2018-06-30,78.49,2.1
2018-09-30,78.83,1.9
2018-12-31,79.24,1.8
2019-03-31,79.23,1.3
2019-06-30,79.7,1.5
2019-09-30,80.15,1.7
2019-12-31,80.7,1.8
2020-03-31,81.0,2.2
2020-06-30,79.44,-0.3
2020-09-30,80.67,0.6
2020-12-31,81.4,0.9
2021-03-31,81.87,1.1
2021-06-30,82.47,3.8
2021-09-30,83.17,3.1
2021-12-31,84.23,3.5
2022-03-31,86.05,5.1
2022-06-30,87.59,6.2
2022-09-30,89.2,7.3
2022-12-31,90.85,7.9
2023-03-31,92.08,7.0
2023-06-30,92.87,6.0
2023-09-30,93.94,5.3
2023-12-31,94.53,4.1
2024-03-31,95.41,3.6
2024-06-30,96.41,3.8
2024-09-30,96.62,2.9
2024-12-31,96.81,2.4
2025-03-31,97.7,2.4
2025-06-30,98.43,2.1
2025-09-30,99.73,3.2
2025-12-31,100.32,3.6
2026-03-31,101.7,4.1
